ProductId,ItemId,Brand,Category,ProductType,Colour,Material,ProductTitle,Image,ImageURL,MainImageId
62,B005GD33PA,Amazon Collection,Finenecklacebraceletanklet,FINENECKLACEBRACELETANKLET,blue,Metal,"Sterling Silver and 14k Gold Aquamarine and Diamond Cross My Heart Pendant Necklace, 18""",B005GD33PA.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/cf/cfe33465.jpg,61mpsQPzqVL
63,B075NNM243,Movian,Sofa,SOFA,Blu Polvere,Tela,"Marchio Amazon - Movian Dyvran - Divano angolare a 3 posti, 197 x 83 x 83 cm, blu polvere",B075NNM243.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/af/aff15bc1.jpg,51a4rgb8-nL
64,B07SWT67MQ,AmazonBasics,Kitchen,KITCHEN,Unknown Color,plastica,"AmazonBasics MJ-WJS2009P-UK spremiagrumi Lento Facile da Pulire con Ampio Scivolo, plastica",B07SWT67MQ.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/71/71848846.jpg,71567EnhwiL
65,B00FXW7WM4,Amazon Collection,Finering,FINERING,Platinum Plated Silver,metal,"Platinum-Plated Sterling Silver Princess-Cut 5-Stone Ring made with Swarovski Zirconia (1 cttw), Size 7",B00FXW7WM4.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/ee/ee4ac56c.jpg,61r6TFUsbZL
66,B0035FZJY4,Amazon Collection,Finenecklacebraceletanklet,FINENECKLACEBRACELETANKLET,Color: Gold/Rose/Silver,metal,"Two-Tone Sterling Silver ""Be"" Graffiti Charm Necklace, 18""",B0035FZJY4.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/17/17a0bec0.jpg,71Q1Sc8AxmL
67,B07BW8VJ4H,Stone & Beam,Sofa,SOFA,Linen,Linen,"Amazon Brand - Stone & Beam Andover Modern Left U-Sectional Sofa, 134""W, Linen",B07BW8VJ4H.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/f4/f4c6d637.jpg,81cwCeAjv5L
68,B073P5V2G1,Rivet,Wall Art,WALL_ART,Multi,wood,"Amazon Brand - Rivet Spring Pink Floral Print in a Black Wood Frame Wall Art, 30"" x 30""",B073P5V2G1.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/71/71e047b4.jpg,915cGUqsuoL
69,B07TF1DFGW,Amazon Brand - Solimo,Cellular Phone Case,CELLULAR_PHONE_CASE,Others,Plastic,Amazon Brand - Solimo Designer Plastic Paint 3D Printed Hard Back Case Mobile Cover for Motorola Moto E4,B07TF1DFGW.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/80/80d801f3.jpg,71DVXEj5q9L
70,B005Q7AA34,Amazon Collection,Finering,FINERING,white,Gold/White-Gold,"14k White Gold Milgrain Diamond Band (1/4 cttw, IJ Color, I2-I3 Clarity), Size 7",B005Q7AA34.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/42/426afac8.jpg,61vh-Zpsm5L
71,B075Z9RMCJ,Rivet,Rug,RUG,Heather Grey,wool,"Amazon Brand - Rivet Motion Modern Patterned Wool Area Rug, 3' 9"" x 5' 9"", Heathered Grey",B075Z9RMCJ.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/30/30b618a9.jpg,A1NYos4ez0L
72,B07DB92LG4,Ravenna Home,Table,TABLE,Dark Espresso,wood,"Amazon Brand - Ravenna Home Dora Classic Shelf Storage Wood Console Table, 47.5""W, Dark Espresso",B07DB92LG4.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/37/373c1197.jpg,71FlHgr5n1L
73,B072635HS4,Rivet,Sofa,SOFA,Pewter,"Velvet, Hardwood frame, Metal legs","Amazon Brand - Rivet Emerly Modern Sectional Sofa, 96""W, Pewter",B072635HS4.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/b4/b41c280c.jpg,71ltfR74YWL
74,B07XRY7VNZ,Flavia,Shoes,SHOES,Yellow,Polyurethane,Flavia Women's Yellow Fashion Sandals-9 UK (41 EU) (10 US) (FL/230/YLW),B07XRY7VNZ.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/c9/c99849d2.jpg,719QHowebGL
75,B076VC9T9B,Amazon Brand - Solimo,Home Furniture And Decor,HOME_FURNITURE_AND_DECOR,Multicolour,PVC Vinyl,"Amazon Brand - Solimo Wall Sticker for Kids' Room (Musical Giraffe, Ideal Size on Wall, 100 cm X 190 cm)",B076VC9T9B.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/03/03c11c10.jpg,61LguJnikOL
76,B0723H8JNR,Stone & Beam,Chair,CHAIR,Hemp,stone,"Amazon Brand - Stone & Beam Bradbury Chesterfield Oversized Tufted Accent Arm Chair, 50""W, Hemp",B0723H8JNR.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/71/7144fba2.jpg,915-G55ygvL
77,B00UYGOJF2,Amazon Collection,Fineearring,FINEEARRING,Blue,metal,Sterling Silver Cushion-Cut Checkerboard Created Blue Sapphire Stud Earrings (8mm),B00UYGOJF2.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/14/14b9e57e.jpg,71mOcxg-qjL
78,B07HYY8Z7P,Rivet,Chair,CHAIR,Charcoal,Polyester,"Amazon Brand - Rivet Goodwin Modern Living Room Accent Chair, 32.3""W x 35.8""H, Charcoal Grey",B07HYY8Z7P.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/3a/3af2fcf7.jpg,A1sBic2Q+wL
79,B08GL1DVHT,Amazon Brand - Solimo,Home Furniture And Decor,HOME_FURNITURE_AND_DECOR,Black,Plastic,"Amazon Brand - Solimo 12-inch Wall Clock - Desginer (Silent Movement, Black Frame), SC-1079",B08GL1DVHT.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/bc/bce5e03f.jpg,61WAs7ppUkL
80,B015RIGVV6,AmazonBasics,Home Bed And Bath,HOME_BED_AND_BATH,Naval Stripe Curtain,Fabric,"AmazonBasics Naval Stripe Sheer Curtain, Set of 2 - 152 x 160 cm",B015RIGVV6.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/b3/b33fd1a3.jpg,91+JUsSMQxL
81,B07XDPJNHP,Eono,Home,HOME,Jaune,Bois,Eono by Amazon - Cadre en Bois Massif pour Photos de 13x18 cm (avec Passe-Partout) et 30x30 cm (sans Passe-Partout) avec a accrocher au Mur Finition Naturelle,B07XDPJNHP.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/f9/f9e57dd7.jpg,61fQXXKJtfL
82,B001CGJ0OS,Pinzon by Amazon,Kitchen,KITCHEN,White,Ceramic,Pinzon White Ceramic Butter Keeper [Amazon Frustration-Free Packaging],B001CGJ0OS.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/b8/b8f017fb.jpg,81UIRkNjWsS
83,B0171HZWA2,Amazon Collection,Finenecklacebraceletanklet,FINENECKLACEBRACELETANKLET,Green,metall,18ct Yellow Gold 925 Sterling Silver Hummingbird Pendant Necklace with Green Blue Swarovski Crystal 18 Inch Chain,B0171HZWA2.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/48/48f47b08.jpg,81yp43j4deL
84,B086B68MGZ,Amazon Brand - Solimo,Sofa,SOFA,Brown,Fabric,solimo Sofa Cum Bed,B086B68MGZ.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/f8/f855d640.jpg,91VviysSn0L
85,B081K72H1T,Amazon Brand - Solimo,Home,HOME,Multicolor,Plastic,"Amazon Brand - Solimo Plastic Multipurpose Modular Drawer, 5 Racks, Blue",B081K72H1T.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/d0/d0b86744.jpg,71IGe4PSuDL
86,B075X4N4Z5,Rivet,Chair,CHAIR,Blackwood,Wood,"Amazon Brand - Rivet Lawson Modern Angled Chair, 33""W, Blackwood",B075X4N4Z5.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/e8/e8ab2d2b.jpg,B1r3udKRbyS
87,B01NCUEDH3,Amazon Collection,Finenecklacebraceletanklet,FINENECKLACEBRACELETANKLET,Rosado,Not applicable,"Amazon CollectionSterling Silver Swarovski Crystal Halo Pendant Necklace, Pink, 18""",B01NCUEDH3.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/ef/ef5e7220.jpg,71tU+SdCWcL
88,B075Z8Z377,Stone & Beam,Rug,RUG,Teal,Wool,"Amazon Brand - Stone & Beam Vinton Persian Area Rug, 8' x 10'6"", Teal Multi",B075Z8Z377.jpg,https://amazon-berkeley-objects.s3.amazonaws.com/images/small/bd/bd3c9e15.jpg,A1JY6ihIhlL
